Name,log(Rgas_lerr),log(Rgas),log(Rgas_uerr),log(SBgas_lerr),log(SBgas),log(SBgas_uerr)
U-zvipe_z1_1081,1.170359144815764,1.203323571873396,1.2390607558931315,0.03661927822061093,0.0474137728618619,0.05806891996730791
U-zvipe_z1_1821,1.1312079596515203,1.1408626470761285,1.1507992068535045,0.07872043449128066,0.08411188422230545,0.08936179360335908
U-zvipe_z1_1838,1.2108640397026704,1.2322911338449405,1.2546569467923434,0.053609235083467204,0.06045272817743102,0.06720254927764065
U-zvipe_z1_247,0.9697733544265089,0.9906544993413068,1.012174282874989,0.05340829177668176,0.06355655305598419,0.07377535298311681
U-zvipe_z1_249,0.9833992563414067,0.9936642455084905,1.0039405308238312,0.1145587125205313,0.12150414508801732,0.12836014122625136
U-zvipe_z1_251,0.8391672904674261,0.8528529701387386,0.8665268552008314,0.13358340618344444,0.14677280046414493,0.15972649245192488
U-zvipe_z1_4550,1.0440267240675245,1.0588165620469394,1.073861689037501,0.11190406980607844,0.12544185793006252,0.13899252611428098
U-zvipe_z1_4553,1.1664005013218168,1.204857770480195,1.2469373604679022,0.05417369731423304,0.07093382707985041,0.0874713066234495
U-zvipe_z1_4555,1.0697497684694721,1.0979371912982399,1.1279346241211092,0.03998640098706796,0.04890062740362422,0.057740334839319014
U-zvipe_z1_4563,1.505986467898766,1.5367586733142762,1.5690510236836461,0.003640081226783349,0.012643800799632777,0.021574256260956503
U-zvipe_z1_4742,0.9589045302219924,0.9762324155669824,0.9941787101863981,0.07279239015602605,0.08396927481416307,0.09509193887992268
U-zvipe_z1_4766,1.1008409534031072,1.1237009344593574,1.1475885116442253,0.07191529704097527,0.08646597964880341,0.10073601400969617
U-zvipe_z1_4773,0.8728754400413016,0.8953469503447817,0.9184423402385591,0.0885620601485542,0.1068660417511644,0.12500292812727817
U-zvipe_z1_4774,0.8392858635732583,0.8549823626567739,0.871225862220306,0.10210483875609741,0.11429349923152271,0.12636507118706053
U-zvipe_z1_4777,1.0041463109321722,1.0158720040617528,1.027708956949377,0.07369127306838182,0.07984989597977828,0.08597971088075845
U-zvipe_z1_4780,0.8999530018697469,0.9092875030477965,0.9187187298379176,0.07603073495147944,0.08271834210051654,0.08932272181655943
U-zvipe_z1_4857,0.7919245871136881,0.8007364079946584,0.8096801813965724,0.12890920802686787,0.13664591884980096,0.14430217718780886
U-zvipe_z1_4958,1.0100117134134234,1.0197056088287744,1.0294483456342667,0.03774400180285717,0.04055611907520413,0.04336975580239533
U-zvipe_z1_5083,1.5008564084298457,1.5376384983520142,1.5765772446487998,0.024877855061913756,0.03276826149975204,0.040590261051461705
U-zvipe_z1_5101,1.4138622513225554,1.4342216811281054,1.4553174897972132,0.04813308182186897,0.05299370377496701,0.05790204499079535
